epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,149.852,0.57264,0.55704,0.97653,0.99037,1,0.995,0.66542,1.25146,0.5988,1.60334,9.41e-05,9.41e-05,9.41e-05
166,150.733,0.59633,0.40363,0.93157,0.99018,1,0.995,0.72368,1.253,0.56662,1.57053,9.1625e-05,9.1625e-05,9.1625e-05
167,151.597,0.68757,0.50177,1.05259,0.99018,1,0.995,0.72368,1.253,0.56662,1.57053,8.915e-05,8.915e-05,8.915e-05
168,152.454,0.59184,0.43184,0.92525,0.99018,1,0.995,0.72368,1.253,0.56662,1.57053,8.6675e-05,8.6675e-05,8.6675e-05
169,153.316,0.56189,0.40834,0.95581,0.99018,1,0.995,0.72368,1.253,0.56662,1.57053,8.42e-05,8.42e-05,8.42e-05
170,154.191,0.4912,0.40043,0.99165,0.99028,1,0.995,0.7494,1.28131,0.59477,1.52756,8.1725e-05,8.1725e-05,8.1725e-05
171,155.173,0.62609,0.50561,0.96405,0.99028,1,0.995,0.7494,1.28131,0.59477,1.52756,7.925e-05,7.925e-05,7.925e-05
172,156.15,0.68031,0.51944,0.92889,0.99028,1,0.995,0.7494,1.28131,0.59477,1.52756,7.6775e-05,7.6775e-05,7.6775e-05
173,157.242,0.51787,0.40919,0.90324,0.99028,1,0.995,0.7494,1.28131,0.59477,1.52756,7.43e-05,7.43e-05,7.43e-05
174,158.241,0.56646,0.45125,0.95931,0.9903,1,0.995,0.76775,1.20763,0.60964,1.4498,7.1825e-05,7.1825e-05,7.1825e-05
175,159.196,0.57327,0.3987,0.95543,0.9903,1,0.995,0.76775,1.20763,0.60964,1.4498,6.935e-05,6.935e-05,6.935e-05
176,160.166,0.65511,0.47105,1.0264,0.9903,1,0.995,0.76775,1.20763,0.60964,1.4498,6.6875e-05,6.6875e-05,6.6875e-05
177,161.133,0.69699,0.45532,0.99442,0.9903,1,0.995,0.76775,1.20763,0.60964,1.4498,6.44e-05,6.44e-05,6.44e-05
178,162.139,0.55036,0.4624,0.97659,0.99058,1,0.995,0.75538,1.09504,0.5935,1.3763,6.1925e-05,6.1925e-05,6.1925e-05
179,162.987,0.53937,0.39436,0.89708,0.99058,1,0.995,0.75538,1.09504,0.5935,1.3763,5.945e-05,5.945e-05,5.945e-05
180,163.847,0.54024,0.38931,0.99074,0.99058,1,0.995,0.75538,1.09504,0.5935,1.3763,5.6975e-05,5.6975e-05,5.6975e-05
181,164.833,0.50925,0.44356,0.95918,0.99058,1,0.995,0.75538,1.09504,0.5935,1.3763,5.45e-05,5.45e-05,5.45e-05
182,165.717,0.55358,0.4437,1.0921,0.99078,1,0.995,0.74159,1.03006,0.52662,1.3484,5.2025e-05,5.2025e-05,5.2025e-05
183,166.57,0.6142,0.39407,0.94907,0.99078,1,0.995,0.74159,1.03006,0.52662,1.3484,4.955e-05,4.955e-05,4.955e-05
184,167.428,0.60711,0.5393,0.95184,0.99078,1,0.995,0.74159,1.03006,0.52662,1.3484,4.7075e-05,4.7075e-05,4.7075e-05
